Slettet pod: 1:  django-applikasjon-65957fd47-hhgmk
Slettet pod: 2:  django-applikasjon-65957fd47-w6jcc
Slettet pod: 3:  django-applikasjon-65957fd47-8fq94
Slettet pod: 4:  django-applikasjon-65957fd47-ch5fj
Slettet pod: 5:  django-applikasjon-65957fd47-s2gjm
Slettet pod: 6:  django-applikasjon-65957fd47-kqbk9
Slettet pod: 7:  django-applikasjon-65957fd47-pgjz7
Slettet pod: 8:  django-applikasjon-65957fd47-ghdn7
Slettet pod: 9:  django-applikasjon-65957fd47-qtp5p
Slettet pod: 10:  django-applikasjon-65957fd47-rmc58
Slettet pod: 11:  django-applikasjon-65957fd47-m58xg
Slettet pod: 12:  django-applikasjon-65957fd47-mlcf7
Slettet pod: 13:  django-applikasjon-65957fd47-2d4lf
Slettet pod: 14:  django-applikasjon-65957fd47-7gbzd
Slettet pod: 15:  django-applikasjon-65957fd47-bd899
Slettet pod: 16:  django-applikasjon-65957fd47-5rtvv
Slettet pod: 17:  django-applikasjon-65957fd47-k4ldx
Slettet pod: 18:  django-applikasjon-65957fd47-b85vh
Slettet pod: 19:  django-applikasjon-65957fd47-jjdwv
Slettet pod: 20:  django-applikasjon-65957fd47-g8kwb
Slettet pod: 21:  django-applikasjon-65957fd47-zgflc
Slettet pod: 22:  django-applikasjon-65957fd47-xc82d
Slettet pod: 23:  django-applikasjon-65957fd47-kfxqf
Slettet pod: 24:  django-applikasjon-65957fd47-qdphr
Slettet pod: 25:  django-applikasjon-65957fd47-86d99
Slettet pod: 26:  django-applikasjon-65957fd47-gkqhm
Slettet pod: 27:  django-applikasjon-65957fd47-fbchr
Slettet pod: 28:  django-applikasjon-65957fd47-45krt
Slettet pod: 29:  django-applikasjon-65957fd47-n2jl7
Slettet pod: 30:  django-applikasjon-65957fd47-8bpqh
