Slettet pod: 1:  django-applikasjon-58cc7cd4fb-mp8zh
Slettet pod: 2:  django-applikasjon-58cc7cd4fb-j96b5
Slettet pod: 3:  django-applikasjon-58cc7cd4fb-v5d2w
Slettet pod: 4:  django-applikasjon-58cc7cd4fb-dw2ml
Slettet pod: 5:  django-applikasjon-58cc7cd4fb-h27fg
Slettet pod: 6:  django-applikasjon-58cc7cd4fb-6htn6
Slettet pod: 7:  django-applikasjon-58cc7cd4fb-5cczj
Slettet pod: 8:  django-applikasjon-58cc7cd4fb-782ts
Slettet pod: 9:  django-applikasjon-58cc7cd4fb-grlwh
Slettet pod: 10:  django-applikasjon-58cc7cd4fb-rmfx2
Slettet pod: 11:  django-applikasjon-58cc7cd4fb-fgwdw
Slettet pod: 12:  django-applikasjon-58cc7cd4fb-f98kp
Slettet pod: 13:  django-applikasjon-58cc7cd4fb-qttrt
Slettet pod: 14:  django-applikasjon-58cc7cd4fb-95mz8
Slettet pod: 15:  django-applikasjon-58cc7cd4fb-dkpxr
Slettet pod: 16:  django-applikasjon-58cc7cd4fb-8lsvh
Slettet pod: 17:  django-applikasjon-58cc7cd4fb-nwzgg
Slettet pod: 18:  django-applikasjon-58cc7cd4fb-w9qx9
Slettet pod: 19:  django-applikasjon-58cc7cd4fb-pcw9l
Slettet pod: 20:  django-applikasjon-58cc7cd4fb-57kvz
Slettet pod: 21:  django-applikasjon-58cc7cd4fb-ddzng
Slettet pod: 22:  django-applikasjon-58cc7cd4fb-fmdvd
Slettet pod: 23:  django-applikasjon-58cc7cd4fb-p4gxr
Slettet pod: 24:  django-applikasjon-58cc7cd4fb-xww7d
Slettet pod: 25:  django-applikasjon-58cc7cd4fb-lx5c8
Slettet pod: 26:  django-applikasjon-58cc7cd4fb-ll4pl
Slettet pod: 27:  django-applikasjon-58cc7cd4fb-qrx4r
Slettet pod: 28:  django-applikasjon-58cc7cd4fb-7stcp
Slettet pod: 29:  django-applikasjon-58cc7cd4fb-lqrsj
Slettet pod: 30:  django-applikasjon-58cc7cd4fb-7tl8z
